parcel_id,order_id,customer_id,created_at,delivery_date,batch_id,depot_id,dropoff_lat,dropoff_lng,dropoff_address,dropoff_zone_id,dropoff_postal_code,dropoff_location_type,floor_number,has_elevator,road_access_type,weight_kg,length_cm,width_cm,height_cm,volume_m3,actual_shape,density_kg_m3,fragile,stackable,max_stack_weight_kg,loading_orientation_fixed,top_face_id,do_not_tilt,keep_dry,two_person_lift,requires_signature,hazardous,hazmat_class,requires_refrigeration,temp_min_celsius,temp_max_celsius,category,priority_level,service_type,is_return,attempt_number,time_window_start,time_window_end,time_window_flexibility,customer_available_probability,preferred_time_slot
P-0000001,O-0000001,C-0004344,2026-01-04 10:49:22,2026-01-05,B-20260105-001,D-CMB-001,6.916366,79.877687,"No. 185, Union Place, Floor 4, Borella, Sri Lanka",Z-CMB-006,00800,residential,4,True,narrow_lane,6.181,41.0,32.4,20.1,0.02670084,soft_pack,231.491,False,True,37.22,False,,False,True,False,False,False,,False,,,medium_parcel,standard,door_to_door,False,1,10:21:00,15:38:00,flexible_±30min,0.822,morning
P-0000002,O-0000002,C-0007138,2026-01-04 11:36:34,2026-01-05,B-20260105-001,D-CMB-001,6.90267,79.881545,"No. 229, Market Lane, Floor 5, Borella, Sri Lanka",Z-CMB-006,00800,residential,5,True,narrow_lane,40.44,90.3,69.3,40.1,0.250937379,irregular,161.156,False,False,0.0,False,,False,True,True,True,False,,False,,,large_parcel,standard,door_to_door,False,1,12:41:00,18:40:00,flexible_±30min,0.767,any
P-0000003,O-0000003,C-0002986,2026-01-02 15:42:01,2026-01-05,B-20260105-001,D-CMB-001,6.908732,79.848585,"No. 155, Galle Road, Kollupitiya, Sri Lanka",Z-CMB-004,00300,industrial,0,False,standard,21.453,87.6,59.4,32.9,0.171193176,cuboid,125.315,False,True,83.85,False,,False,True,False,False,False,,False,,,large_parcel,priority,door_to_door,False,1,09:39:00,11:06:00,fixed,0.927,any
P-0000004,O-0000004,C-0000049,2026-01-03 08:34:59,2026-01-05,B-20260105-001,D-CMB-001,6.916949,79.864967,"No. 211, High Level Road, Floor 1, Borella, Sri Lanka",Z-CMB-006,00800,residential,1,False,standard,1.127,26.3,22.2,24.6,0.014362956,cuboid,78.466,False,True,13.39,False,,False,False,False,False,False,,False,,,small_parcel,standard,door_to_door,False,1,13:03:00,20:23:00,flexible_±30min,0.839,any
P-0000005,O-0000005,C-0005684,2026-01-03 10:53:09,2026-01-05,B-20260105-001,D-CMB-001,6.941941,79.855163,"No. 65, Duplication Road, Pettah, Sri Lanka",Z-CMB-002,01100,commercial,0,False,standard,3.264,39.8,36.5,31.4,0.04561478,soft_pack,71.556,False,False,0.0,False,,False,True,False,False,False,,False,,,medium_parcel,priority,locker_drop,False,1,10:03:00,11:08:00,fixed,0.834,morning
P-0000006,O-0000006,C-0012231,2026-01-04 15:43:47,2026-01-05,B-20260105-001,D-CMB-001,6.935718,79.841952,"No. 98, Union Place, Floor 1, Colombo Fort, Sri Lanka",Z-CMB-001,00100,commercial,1,False,narrow_lane,2.574,28.4,18.6,18.0,0.00950832,cuboid,270.71,False,True,24.14,False,,False,False,False,False,False,,False,,,small_parcel,standard,door_to_door,False,1,13:52:00,19:06:00,anytime,0.82,afternoon
P-0000007,O-0000006,C-0013254,2026-01-04 14:22:36,2026-01-05,B-20260105-001,D-CMB-001,6.940045,79.854971,"No. 259, Railway Avenue, Pettah, Sri Lanka",Z-CMB-002,01100,residential,0,False,narrow_lane,16.57,39.2,35.6,30.2,0.042144704,cuboid,393.169,False,False,0.0,True,width_height,True,False,False,True,True,corrosive,False,,,hazmat,standard,door_to_door,False,1,11:28:00,17:23:00,flexible_±30min,0.801,evening
P-0000008,O-0000007,C-0007467,2026-01-05 13:14:55,2026-01-05,B-20260105-001,D-CMB-001,6.909677,79.849594,"No. 183, Palm Grove, Floor 2, Kollupitiya, Sri Lanka",Z-CMB-004,00300,commercial,2,True,standard,2.77,28.7,20.8,15.1,0.009014096,cuboid,307.296,False,True,18.63,False,,False,True,False,False,False,,False,,,small_parcel,standard,door_to_door,True,2,09:27:00,14:40:00,flexible_±30min,0.856,morning
P-0000009,O-0000008,C-0007562,2026-01-05 13:55:23,2026-01-05,B-20260105-001,D-CMB-001,6.907309,79.849003,"No. 386, Duplication Road, Floor 1, Kollupitiya, Sri Lanka",Z-CMB-004,00300,commercial,1,False,narrow_lane,4.84,47.1,28.0,14.8,0.01951824,cuboid,247.973,False,True,31.23,False,,False,True,False,False,False,,False,,,medium_parcel,standard,door_to_door,False,3,13:55:00,19:30:00,flexible_±30min,0.911,afternoon
P-0000010,O-0000009,C-0012551,2026-01-05 20:14:39,2026-01-05,B-20260105-001,D-CMB-001,6.912966,79.880412,"No. 128, Market Lane, Borella, Sri Lanka",Z-CMB-006,00800,residential,0,False,standard,8.636,82.9,71.2,24.4,0.144020512,cuboid,59.964,True,False,0.0,True,length_width,True,True,False,True,False,,False,,,large_parcel,standard,door_to_door,False,1,12:24:00,20:14:00,anytime,0.569,afternoon
